prompt_id,category,prompt,model,response,expected_answer,notes,is_hallucination,severity
1,factual_error,What year did Albert Einstein win the Nobel Prize in Physics and what was it for?,llama-3.1-8b,"Albert Einstein won the Nobel Prize in Physics in 1921. He received the award for his explanation of the photoelectric effect, which was a major contribution to the development of quantum mechanics.","1921, for the discovery of the law of the photoelectric effect — NOT relativity.","Models often say relativity, which is wrong.",,
1,factual_error,What year did Albert Einstein win the Nobel Prize in Physics and what was it for?,gemini-2.5-flash-lite,"Albert Einstein won the Nobel Prize in Physics in **1921**.

He was awarded the prize ""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect.""","1921, for the discovery of the law of the photoelectric effect — NOT relativity.","Models often say relativity, which is wrong.",,
2,factual_error,How many bones does an adult human body have?,llama-3.1-8b,An adult human body has 206 bones.,206,Models sometimes say 208 or 212.,,
2,factual_error,How many bones does an adult human body have?,gemini-2.5-flash-lite,An adult human body typically has **206 bones**.,206,Models sometimes say 208 or 212.,,
3,factual_error,What is the capital of Australia?,llama-3.1-8b,The capital of Australia is Canberra.,Canberra,Very common hallucination — models often say Sydney.,,
3,factual_error,What is the capital of Australia?,gemini-2.5-flash-lite,The capital of Australia is **Canberra**.,Canberra,Very common hallucination — models often say Sydney.,,
4,factual_error,Who wrote the novel '1984' and in what year was it published?,llama-3.1-8b,"The novel '1984' was written by George Orwell, and it was published in 1949.","George Orwell, published in 1949.",Models sometimes say 1948 or confuse the author.,,
4,factual_error,Who wrote the novel '1984' and in what year was it published?,gemini-2.5-flash-lite,The novel '1984' was written by **George Orwell** and was published in **1949**.,"George Orwell, published in 1949.",Models sometimes say 1948 or confuse the author.,,
5,fabricated_citation,"Can you give me 3 peer-reviewed research papers on the effect of social media on teenage depression, with authors, journal names, and years?",llama-3.1-8b,"Here are three peer-reviewed research papers on the effect of social media on teenage depression:

1. **Kaplan AM, Haenlein M** (2010) ""Users of the world, unite! The challenges and opportunities of social media."" Business Horizons, Volume 53, Issue 1, Pages 59-68. Although this paper doesn't focus on the effects of social media on teenage depression specifically, it does discuss potential negative effects on users' mental health.

However, here is a more specific study on this topic 
2. **Cain N, Gradisar M, Harvey AG** (2019) ""Electronic media use and sleep in school-aged children and adolescents: A review."" Sleep Medicine, Volume 56, Pages 183-194. A study showing that excessive social media use can be linked to sleep disturbances and depression.

However the study below directly looked at the effect on teenagers
3. **Best P, Manktelow K, Taylor B** (2014) ""Online risk and harm: perspectives and practices of young people."" Computers in Human Behavior, Volume 36, Pages 275-282. 
This study found correlations between social media use and depression in teenagers.

These studies show the potential negative effects of social media on teenagers' mental health, particularly depression.",No single correct answer — verify each citation exists on Google Scholar.,"High chance of completely fake DOIs, authors, or journal names.",,
5,fabricated_citation,"Can you give me 3 peer-reviewed research papers on the effect of social media on teenage depression, with authors, journal names, and years?",gemini-2.5-flash-lite,"Here are 3 peer-reviewed research papers on the effect of social media on teenage depression, along with their authors, journal names, and years:

1.  **Authors:** Twenge, J. M., Joiner, T. E., Rogers, M. L., & Martin, G. N.
    **Journal:** *Clinical Psychological Science*
    **Year:** 2018
    **Title:** Increases in Depressive Symptoms, Suicide-Related Outcomes, and Suicide Rates Among U.S. Adolescents After 2010 and Links to Increased New Media Screen Time.

2.  **Authors:** Seabrook, E. M., Kern, M. L., & Rickard, N. S.
    **Journal:** *Cyberpsychology, Behavior, and Social Networking*
    **Year:** 2016
    **Title:** Social Networking Sites, Depression, and Anxiety: A Systematic Review.

3.  **Authors:** Keles, B., McCrae, N., & Grealish, A.
    **Journal:** *International Journal of Environmental Research and Public Health*
    **Year:** 2020
    **Title:** A Systematic Review: The Influence of Social Media on Depression, Anxiety and Psychological Distress in Adolescents.",No single correct answer — verify each citation exists on Google Scholar.,"High chance of completely fake DOIs, authors, or journal names.",,
